_id,AfterCount,AfterCountStr,AverageScore,GoodRate,CommentCount,cn,product_category,product_detail,product_detail_url,product_id,product_price,product_shop_name,product_shop_url,type
6559653 ,1602,1600+,5,0.99,266653,jd,冰箱,"美的(Midea) 213升 三门三温家用冰箱冷藏冷冻大容量保鲜节能省电静音  BCD-213TM(E)
								【每满300减30,领券立减到手1279】【18点-22点购冰冷瓜分5万元京豆】小巧不占地,精细分储不串味,三门三温,日耗电0.49度【果润系列新品上市】",//item.jd.com/6559653.html,6559653,"￥1,399.00",美的京东自营官方旗舰店,//mall.jd.com/index-1000282702.html?from=pc,家电
6577096 ,3135,3100+,5,0.99,58263,jd,空调,"线下同款	
美的（Midea）3匹智行 一级能效变频冷暖 客厅圆柱 空调立式柜机 KFR-72LW/BP3DN8Y-YH200(B1) 线下同款
								【20点金靖直播间抽999大额券】满减到手5599！3期免息！联系客服领30元券！健康智清洁！一级能效，更加节能省电！满9800减500！6800减200",//item.jd.com/6577096.html,6577096,"￥5,699.00",美的京东自营官方旗舰店,//mall.jd.com/index-1000282702.html?from=pc,家电
6577106 ,13642,1.3万+,5,0.99,244845,jd,空调,"京东超市	
美的（Midea）1匹 一级能效变频 冷暖壁挂式 卧室 防直吹 空调挂机KFR-26GW/BP3DN8Y-PH200(B1)
								【20点金靖直播间抽999大额券】3期免息！高密度银离子滤网呵护全家健康，减少细菌滋生，还空调干净的“肺”！高速制冷！一键防直吹！查看一级节能高性价爆款",//item.jd.com/6577106.html,6577106,"￥2,199.00",美的京东自营官方旗舰店,//mall.jd.com/index-1000282702.html?from=pc,家电
6656004 ,24,20+,5,0.99,15213,jd,电脑包,"京东超市	
高尔夫GOLF电脑包15.6英寸手提单肩包轻薄防泼水苹果笔记本电脑包联想戴尔男商务包 黑色
								1.8-1.11箱包季，京东箱包陪你回家！点击进入箱包会场享更多优惠",//item.jd.com/6656004.html,6656004,￥109.00,GOLF高尔夫京东自营旗舰店,//mall.jd.com/index-1000099713.html?from=pc,包
6744413 ,105,100+,5,0.98,33323,jd,钱包,"七匹狼钱包 男士短款商务横款时尚钱夹男式卡包礼盒装钱包 3A0854141-01 黑色520情人节礼物
								【七匹狼男包优选品质，520品牌闪购特卖】5月17日-5月19,满99减15,满199减30,满399减60点击查看！",//item.jd.com/6744413.html,6744413,￥116.00,七匹狼京东自营旗舰店,//mall.jd.com/index-1000001212.html?from=pc,包
6790447 ,13642,1.3万+,5,0.99,244859,jd,空调,"京东超市	
美的（Midea）1.5匹 一级能效变频 冷暖壁挂式 卧室 防直吹 空调挂机KFR-35GW/BP3DN8Y-PH200(B1)
								【20点金靖直播间抽999大额券】3期免息！高密度银离子滤网呵护全家健康，减少细菌滋生，还空调干净的“肺”！高速制冷！一键防直吹！查看一级节能高性价爆款",//item.jd.com/6790447.html,6790447,"￥2,399.00",美的京东自营官方旗舰店,//mall.jd.com/index-1000282702.html?from=pc,家电
6790737 ,1452,1400+,5,0.98,186287,jd,冰箱,"康佳（KONKA）155升 双门冰箱 匀冷两门 家用小冰箱 节能电冰箱 保鲜静音 BCD-155C2GBU(瓷白)
								【康佳40周年庆典】工厂放价价创新低！
【居家/租房/酒店/办公室小冰箱】节能静音保鲜
【购机抽旅游卡】推荐383升风冷对开【猛戳链接】",//item.jd.com/6790737.html,6790737,￥698.00,康佳冰箱洗衣机京东自营旗舰店,//mall.jd.com/index-1000001700.html?from=pc,家电
6840725 ,841,800+,5,0.99,291251,jd,粉底,"京东超市	
美宝莲 MAYBELLINE 巨遮瑕新颜霜30ml 自然色（SPF33防晒 按压喷头 遮瑕粉底液提亮肤色裸妆素颜霜）
								【520礼在京东】是防晒霜也是BB霜，打造自然裸肌！海量产品2件75折，还有超大优惠部分每满199减100，戳我选购",//item.jd.com/6840725.html,6840725,￥116.00,美宝莲京东自营官方旗舰店,//mall.jd.com/index-1000002522.html?from=pc,美妆
6840749 ,841,800+,5,0.99,291251,jd,遮暇,"京东超市	
美宝莲 MAYBELLINE 巨遮瑕新颜霜30ml 象牙色（ SPF33防晒 按压喷头 滋润遮瑕粉底液提亮肤色裸妆素颜霜）
								【520礼在京东】是防晒霜也是BB霜，打造自然裸肌！海量产品2件75折，还有超大优惠部分每满199减100，戳我选购",//item.jd.com/6840749.html,6840749,￥116.00,美宝莲京东自营官方旗舰店,//mall.jd.com/index-1000002522.html?from=pc,美妆
6968445 ,1119,1100+,5,0.98,293307,jd,耳机,"小米双单元半入耳式耳机 白色 动圈+陶瓷喇叭双单元声学架构 高韧性线材+微机电麦克风线控
								【五月告白季，小米耳机上新】高韧性线材+微机电麦克风线控，动圈+陶瓷双发声单元_真·性价比新品",//item.jd.com/6968445.html,6968445,￥69.00,小米京东自营旗舰店,//mall.jd.com/index-1000004123.html?from=pc,电子产品
